Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,
Exportaciones FOB,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Millones de US dólares,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,El Salvador,,,Guatemala,,,Honduras,,,Nicaragua,,,República Dominicana,,,Panamá,,
,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales
2019-Agosto,956.52,543.02,413.5,486.64,94.86,391.78,958.3,226.9,731.4,739.53,412.15,327.38,490.1,274.75,215.35,920.1,544.7,375.4,924.89,761.26,163.64
2019-Setiembre,928.16,508.65,419.51,462.17,94.16,368.01,876.9,214.2,662.7,716.48,412.05,304.43,448.89,231.91,216.98,901.2,513,388.2,1054.98,828.42,226.56
2019-Octubre,978.17,575.21,402.96,492.92,94.42,398.5,875.8,226.2,649.6,628.36,368.31,260.06,482.64,280.87,201.77,959.5,584.3,375.2,1239.12,998.85,240.27
2019-Noviembre,957.77,527.28,430.49,461.71,96.55,365.16,916.8,229.3,687.5,708.19,407.73,300.46,444.19,240.75,203.44,994.8,543.7,451.1,998.99,885.49,113.5
2019-Diciembre,893.99,503.29,390.7,448.51,91.17,357.34,990.5,219.8,770.7,690.53,319.95,370.58,439.92,198.54,241.37,956.4,447.9,508.5,962.57,782.53,180.04
2020-Enero,820.75,423.73,397.02,464.92,90.89,374.03,1009.8,239.4,770.4,756.52,344.48,412.04,491.88,247.1,244.78,863.6,448.6,415,870.26,697.27,172.99
2020-Febrero,1034.36,587.6,446.76,509.07,97.15,411.92,1031.9,230.5,801.4,776.68,375.41,401.27,475.15,227.73,247.42,953.2,540.5,412.7,875.25,675.87,199.38
2020-Marzo,1138.34,617.23,521.11,399.32,70.68,328.64,1003.6,197.1,806.5,634.14,229.08,405.06,508.9,214.46,294.44,874.3,477.6,396.7,853.1,655.36,197.74
2020-Abril,842.49,445.32,397.17,212.17,7.49,204.68,827,128.5,698.5,395.41,35.74,359.67,366.19,91.23,274.95,555.2,283.1,272.1,399.74,305.77,93.97
2020-Mayo,846.25,434.37,411.88,234.16,8.15,226.01,882.2,195.8,686.4,457.71,96.25,361.46,347.99,108.02,239.98,684.2,389.3,294.9,458.47,369.65,88.81
2020-Junio,927.18,495.28,431.91,274.75,35.55,239.2,763.3,187.2,576.1,591.97,214.54,377.43,392.97,174.77,218.2,814,470.3,343.7,789.78,669.53,120.25
2020-Julio,925.77,526.03,399.74,442.95,85.11,357.84,909.5,221.5,688,680.09,348.63,331.45,478.67,233.59,245.08,889.9,554.3,335.6,740.7,634.83,105.87
