Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,1500,Developed economies,8,Flow,1,Inward,171297.422,,135.985,,83.605516,,0.88983,,3.53216,
1990,1990,1500,Developed economies,8,Flow,2,Outward,231899.97,,248.006,,95.089784,,1.26502,,5.04104,
1990,1990,1500,Developed economies,9,Stock,1,Inward,1692583.28,,1343.666,,77.068619,,8.79241,,34.9011,
1990,1990,1500,Developed economies,9,Stock,2,Outward,2116808.848,,2219.243,,93.875814,,11.50472,,45.95121,
1990,1990,152,Chile,8,Flow,1,Inward,661.2,,49.555,,0.322713,,1.89356,,7.68398,
1990,1990,152,Chile,8,Flow,2,Outward,7.5,,0.562,,0.003075,,0.02148,,0.08716,
1990,1990,152,Chile,9,Stock,1,Inward,16106.684,,1207.138,,0.733388,,46.12679,,187.17992,
1990,1990,152,Chile,9,Stock,2,Outward,154,,11.542,,0.00683,,0.44103,,1.78967,
1990,1990,1520,Developed economies: Americas,8,Flow,1,Inward,56004.276,,200.455,,27.334132,,0.8498,,3.99055,
1990,1990,1520,Developed economies: Americas,8,Flow,2,Outward,36218.544,,129.636,,14.851289,,0.54958,,2.58073,
1990,1990,1520,Developed economies: Americas,9,Stock,1,Inward,652444.23,,2335.284,,29.70783,,9.90012,,46.48953,
1990,1990,1520,Developed economies: Americas,9,Stock,2,Outward,816569.377,,2922.735,,36.213055,,12.39054,,58.18417,
1990,1990,1530,Developed economies: Asia,8,Flow,1,Inward,2988.759,,17.315,,1.45873,,0.08601,,0.25156,
1990,1990,1530,Developed economies: Asia,8,Flow,2,Outward,52169.105,,302.238,,21.391762,,1.50128,,4.39095,
1990,1990,1530,Developed economies: Asia,9,Stock,1,Inward,19511.608,,113.039,,0.888425,,0.56149,,1.64225,
1990,1990,1530,Developed economies: Asia,9,Stock,2,Outward,204929.909,,1187.245,,9.08819,,5.89729,,17.24848,
1990,1990,1540,Developed economies: Europe,8,Flow,1,Inward,102715.232,,130.476,,50.132453,,1.16515,,4.73541,
1990,1990,1540,Developed economies: Europe,8,Flow,2,Outward,140954.868,,304.69,,57.798058,,1.78496,,7.34263,
1990,1990,1540,Developed economies: Europe,9,Stock,1,Inward,932324.623,,1184.303,,42.451661,,10.57587,,42.98231,
1990,1990,1540,Developed economies: Europe,9,Stock,2,Outward,1053382.623,,2188.154,,46.715201,,13.22585,,54.69058,
1990,1990,1550,Developed economies: Oceania,8,Flow,1,Inward,9589.155,,469.013,,4.6802,,2.59407,,10.76934,
1990,1990,1550,Developed economies: Oceania,8,Flow,2,Outward,2557.453,,125.087,,1.048675,,0.69185,,2.87221,
1990,1990,1550,Developed economies: Oceania,9,Stock,1,Inward,88302.819,,4318.959,,4.020704,,23.88778,,99.17064,
1990,1990,1550,Developed economies: Oceania,9,Stock,2,Outward,41926.938,,2050.679,,1.859367,,11.34212,,47.08707,
1990,1990,156,China,8,Flow,1,Inward,3487.11,,3.023,,1.701962,,0.88378,,3.59779,
1990,1990,156,China,8,Flow,2,Outward,830,,0.719,,0.340339,,0.21036,,0.85634,
1990,1990,156,China,9,Stock,1,Inward,20690.62,,17.934,,0.942109,,5.2439,,21.34735,
1990,1990,156,China,9,Stock,2,Outward,4455,,3.861,,0.197569,,1.12909,,4.5964,
1990,1990,1560,Developed economies: Asia and Oceania,8,Flow,1,Inward,12577.914,,65.152,,6.138931,,0.32715,,0.98485,
1990,1990,1560,Developed economies: Asia and Oceania,8,Flow,2,Outward,54726.558,,283.477,,22.440437,,1.42345,,4.28507,
1990,1990,1560,Developed economies: Asia and Oceania,9,Stock,1,Inward,107814.427,,558.465,,4.909129,,2.80428,,8.44183,
1990,1990,1560,Developed economies: Asia and Oceania,9,Stock,2,Outward,246856.847,,1278.687,,10.947558,,6.4208,,19.3288,
1990,1990,158,"China, Taiwan Province of",8,Flow,1,Inward,1330,,64.606,,0.649136,,0.79822,,3.22,
1990,1990,158,"China, Taiwan Province of",8,Flow,2,Outward,5243,,254.685,,2.149874,,3.14665,,12.6936,
1990,1990,158,"China, Taiwan Province of",9,Stock,1,Inward,9735,,472.89,,0.443265,,5.84258,,23.56898,
